14.5 14.4 14.3 14.2
RA RR RR RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RR RA RR
RR RR RR RA
RR RR RA RR
RR RA RR RR
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RR RA RR
RA RR RR RR
RR RR RR RA
RR RR RR RA
RR RR RR RA
RR RR RA RR
RR RR RR RA
RR RR RA RR
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RR RR RA RR
RR RR RR RA
RR RR RA RR
RR RR RR RA
RR RA RR RR
RR RR RR RA
RR RA RR RR
RR RR RA RR
RR RR RR RA
RR RR RA RR
RR RA RR RR
RR RR RR RA
RR RR RR RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RR RA RR
RR RA RR RR
RR RR RA RR
RR RR RA RR
RR RA RR RR
RR RR RA RR
RR RA RR RR
RR RR RA RR
RA RR RR RR
RR RR RA RR
RR RR RA RR
RR RA RR RR
RR RR RR RA
RR RR RR RR
RR RR RR RA
RR RR RA RR
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RR RR RA
RR RR RA RR
RR RR RA RR
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RR RR RA RR
RA RR RR RR
RA RR RR RR
RR RA RR RR
RR RR RA RR
RR RA RR RR
RR RA RR RR
RA RR RR RR
RR RR RR RA
RA RR RR RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RR RA RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RA RR RR RR
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RA RR RR

